word,num_videos,num_signers,signers,videos
ممرضة,5,3,"S01, S02, S07","0005_S01_T01.mp4, 0005_S01_T02.mp4, 0005_S02_T01.mp4, 0005_S02_T02.mp4, 0005_S07_T01.mp4"
ينجح,5,3,"S01, S02, S07","0052_S01_T01.mp4, 0052_S01_T02.mp4, 0052_S02_T01.mp4, 0052_S02_T02.mp4, 0052_S07_T01.mp4"
مدير,5,3,"S01, S02, S07","0036_S01_T01.mp4, 0036_S01_T02.mp4, 0036_S02_T01.mp4, 0036_S02_T02.mp4, 0036_S07_T01.mp4"
طبيب,5,3,"S01, S02, S07","0004_S01_T01.mp4, 0004_S01_T02.mp4, 0004_S02_T01.mp4, 0004_S02_T02.mp4, 0004_S07_T01.mp4"
امتحان,5,3,"S01, S02, S03","0044_S01_T01.mp4, 0044_S01_T02.mp4, 0044_S02_T01.mp4, 0044_S02_T02.mp4, 0044_S03_T01.mp4"
مختبر,5,3,"S01, S02, S06","0057_S01_T01.mp4, 0057_S01_T02.mp4, 0057_S02_T01.mp4, 0057_S02_T02.mp4, 0057_S06_T01.mp4"
سكري,4,2,"S01, S02","0015_S01_T01.mp4, 0015_S01_T02.mp4, 0015_S02_T01.mp4, 0015_S02_T02.mp4"
دوخة,4,2,"S01, S02","0013_S01_T01.mp4, 0013_S01_T02.mp4, 0013_S02_T01.mp4, 0013_S02_T02.mp4"
مشكلة,4,2,"S04, S07","0201_S04_T01.mp4, 0201_S04_T02.mp4, 0201_S04_T03.mp4, 0201_S07_T01.mp4"
ضغط,4,2,"S01, S02","0016_S01_T01.mp4, 0016_S01_T02.mp4, 0016_S02_T01.mp4, 0016_S02_T02.mp4"
سعال,4,2,"S01, S02","0012_S01_T01.mp4, 0012_S01_T02.mp4, 0012_S02_T01.mp4, 0012_S02_T02.mp4"
محاضرة,4,2,"S01, S02","0055_S01_T01.mp4, 0055_S01_T02.mp4, 0055_S02_T01.mp4, 0055_S02_T02.mp4"
مشروع,4,2,"S01, S02","0058_S01_T01.mp4, 0058_S01_T02.mp4, 0058_S02_T01.mp4, 0058_S02_T02.mp4"
يفهم,4,2,"S01, S02","0049_S01_T01.mp4, 0049_S01_T02.mp4, 0049_S02_T01.mp4, 0049_S02_T02.mp4"
كمبيوتر,4,2,"S01, S02","0042_S01_T01.mp4, 0042_S01_T02.mp4, 0042_S02_T01.mp4, 0042_S02_T02.mp4"
كسر,4,2,"S01, S02","0018_S01_T01.mp4, 0018_S01_T02.mp4, 0018_S02_T01.mp4, 0018_S02_T02.mp4"
نزيف,4,2,"S01, S02","0017_S01_T01.mp4, 0017_S01_T02.mp4, 0017_S02_T01.mp4, 0017_S02_T02.mp4"
مادة,4,1,S05,"0346_S05_T01.mp4, 0346_S05_T02.mp4, 0346_S05_T03.mp4, 0346_S05_T04.mp4"
درجات,4,2,"S01, S02","0054_S01_T01.mp4, 0054_S01_T02.mp4, 0054_S02_T01.mp4, 0054_S02_T02.mp4"
تسجيل,4,2,"S01, S02","0060_S01_T01.mp4, 0060_S01_T02.mp4, 0060_S02_T01.mp4, 0060_S02_T02.mp4"
اتصل بالإسعاف,4,2,"S01, S02","0030_S01_T01.mp4, 0030_S01_T02.mp4, 0030_S02_T01.mp4, 0030_S02_T02.mp4"
إسعاف,4,2,"S01, S02","0007_S01_T01.mp4, 0007_S01_T02.mp4, 0007_S02_T01.mp4, 0007_S02_T02.mp4"
صداع,4,2,"S01, S02","0010_S01_T01.mp4, 0010_S01_T02.mp4, 0010_S02_T01.mp4, 0010_S02_T02.mp4"
حقيبة,4,2,"S01, S02","0041_S01_T01.mp4, 0041_S01_T02.mp4, 0041_S02_T01.mp4, 0041_S02_T02.mp4"
بحث,4,2,"S01, S02","0059_S01_T01.mp4, 0059_S01_T02.mp4, 0059_S02_T01.mp4, 0059_S02_T02.mp4"
يدرس,4,2,"S01, S02","0043_S01_T01.mp4, 0043_S01_T02.mp4, 0043_S02_T01.mp4, 0043_S02_T02.mp4"
صف,4,2,"S01, S02","0033_S01_T01.mp4, 0033_S01_T02.mp4, 0033_S02_T01.mp4, 0033_S02_T02.mp4"
يرسب,4,2,"S01, S02","0053_S01_T01.mp4, 0053_S01_T02.mp4, 0053_S02_T01.mp4, 0053_S02_T02.mp4"
قلم,4,2,"S01, S02","0039_S01_T01.mp4, 0039_S01_T02.mp4, 0039_S02_T01.mp4, 0039_S02_T02.mp4"
درس,4,2,"S01, S02","0048_S01_T01.mp4, 0048_S01_T02.mp4, 0048_S02_T01.mp4, 0048_S02_T02.mp4"
إعادة,4,3,"S03, S04, S06","0229_S03_T03.mp4, 0229_S04_T01.mp4, 0229_S04_T02.mp4, 0229_S06_T01.mp4"
ساعدني,4,2,"S01, S02","0028_S01_T01.mp4, 0028_S01_T02.mp4, 0028_S02_T01.mp4, 0028_S02_T02.mp4"
حساسية,4,2,"S01, S02","0019_S01_T01.mp4, 0019_S01_T02.mp4, 0019_S02_T02.mp4, 0019_S02_T03.mp4"
وقت,4,2,"S03, S07","0168_S03_T01.mp4, 0168_S03_T02.mp4, 0168_S07_T01.mp4, 0168_S07_T02.mp4"
سكر,3,2,"S01, S06","0114_S01_T01.mp4, 0114_S01_T02.mp4, 0114_S06_T01.mp4"
جار,3,2,"S01, S07","0099_S01_T01.mp4, 0099_S01_T02.mp4, 0099_S07_T01.mp4"
أمس,3,2,"S03, S07","0158_S03_T01.mp4, 0158_S03_T02.mp4, 0158_S07_T01.mp4"
موقف,3,2,"S03, S06","0132_S03_T01.mp4, 0132_S03_T02.mp4, 0132_S06_T01.mp4"
صديق,3,2,"S01, S07","0098_S01_T01.mp4, 0098_S01_T02.mp4, 0098_S07_T01.mp4"
تنبيه,3,1,S04,"0209_S04_T01.mp4, 0209_S04_T02.mp4, 0209_S04_T03.mp4"
عصير,3,2,"S01, S06","0113_S01_T01.mp4, 0113_S01_T02.mp4, 0113_S06_T01.mp4"
ضيوف,3,2,"S01, S07","0100_S01_T02.mp4, 0100_S01_T03.mp4, 0100_S07_T01.mp4"
قديم,3,2,"S03, S07","0199_S03_T01.mp4, 0199_S03_T02.mp4, 0199_S07_T01.mp4"
الأسرة,3,2,"S06, S07","0372_S06_T01.mp4, 0372_S07_T01.mp4, 0372_S07_T02.mp4"
طفل,3,2,"S01, S07","0096_S01_T01.mp4, 0096_S01_T02.mp4, 0096_S07_T01.mp4"
موعد,3,2,"S03, S07","0169_S03_T01.mp4, 0169_S03_T02.mp4, 0169_S07_T01.mp4"
شارع,3,2,"S03, S07","0133_S03_T01.mp4, 0133_S03_T02.mp4, 0133_S07_T01.mp4"
سمك,3,2,"S01, S06","0109_S01_T01.mp4, 0109_S01_T02.mp4, 0109_S06_T01.mp4"
مستعمل,3,2,"S03, S07","0200_S03_T01.mp4, 0200_S03_T02.mp4, 0200_S07_T01.mp4"
بيت,3,2,"S01, S07","0066_S01_T01.mp4, 0066_S01_T02.mp4, 0066_S07_T01.mp4"
أم,3,2,"S01, S07","0087_S01_T01.mp4, 0087_S01_T02.mp4, 0087_S07_T01.mp4"
شركة,3,2,"S03, S07","0129_S03_T01.mp4, 0129_S03_T02.mp4, 0129_S07_T01.mp4"
خبز,3,2,"S01, S06","0105_S01_T01.mp4, 0105_S01_T02.mp4, 0105_S06_T01.mp4"
جديد,3,2,"S03, S07","0198_S03_T01.mp4, 0198_S03_T02.mp4, 0198_S07_T01.mp4"
سنة,3,2,"S03, S07","0167_S03_T01.mp4, 0167_S03_T02.mp4, 0167_S07_T01.mp4"
دجاج,3,2,"S01, S06","0108_S01_T01.mp4, 0108_S01_T02.mp4, 0108_S06_T01.mp4"
يسار,3,2,"S03, S07","0147_S03_T01.mp4, 0147_S03_T02.mp4, 0147_S07_T01.mp4"
أب,3,2,"S01, S07","0086_S01_T01.mp4, 0086_S01_T02.mp4, 0086_S07_T01.mp4"
هنا,3,2,"S03, S09","0152_S03_T01.mp4, 0152_S03_T02.mp4, 0152_S09_T01.mp4"
تم,3,2,"S04, S09","0249_S04_T01.mp4, 0249_S04_T02.mp4, 0249_S09_T01.mp4"
أخت,3,2,"S01, S07","0089_S01_T01.mp4, 0089_S01_T02.mp4, 0089_S07_T01.mp4"
سوق,3,2,"S03, S07","0121_S03_T01.mp4, 0121_S03_T02.mp4, 0121_S07_T01.mp4"
مساء,3,2,"S03, S07","0162_S03_T01.mp4, 0162_S03_T02.mp4, 0162_S07_T01.mp4"
يمين,3,2,"S03, S07","0146_S03_T01.mp4, 0146_S03_T02.mp4, 0146_S07_T01.mp4"
غداً,3,2,"S03, S07","0157_S03_T01.mp4, 0157_S03_T02.mp4, 0157_S07_T01.mp4"
جدة,3,2,"S01, S07","0095_S01_T01.mp4, 0095_S01_T02.mp4, 0095_S07_T01.mp4"
ميناء,3,2,"S03, S06","0141_S03_T01.mp4, 0141_S03_T02.mp4, 0141_S06_T01.mp4"
شاي,3,2,"S01, S06","0103_S01_T01.mp4, 0103_S01_T02.mp4, 0103_S06_T01.mp4"
مطعم,3,2,"S03, S07","0123_S03_T01.mp4, 0123_S03_T02.mp4, 0123_S07_T01.mp4"
صباح,3,2,"S03, S07","0164_S03_T01.mp4, 0164_S03_T02.mp4, 0164_S07_T01.mp4"
متأخر,3,2,"S03, S07","0170_S03_T01.mp4, 0170_S03_T02.mp4, 0170_S07_T01.mp4"
قلب,3,2,"S01, S03","0021_S01_T01.mp4, 0021_S01_T02.mp4, 0021_S03_T01.mp4"
قهوة,3,2,"S01, S06","0104_S01_T01.mp4, 0104_S01_T02.mp4, 0104_S06_T01.mp4"
أسبوع,3,2,"S03, S07","0165_S03_T01.mp4, 0165_S03_T02.mp4, 0165_S07_T01.mp4"
رجل,3,2,"S01, S06","0024_S01_T01.mp4, 0024_S01_T02.mp4, 0024_S06_T01.mp4"
أخ,3,2,"S01, S07","0088_S01_T01.mp4, 0088_S01_T02.mp4, 0088_S07_T01.mp4"
ملح,3,2,"S01, S06","0115_S01_T01.mp4, 0115_S01_T02.mp4, 0115_S06_T01.mp4"
ظهراً,3,2,"S03, S07","0161_S03_T01.mp4, 0161_S03_T02.mp4, 0161_S07_T01.mp4"
التهاب,3,2,"S03, S04","0251_S03_T03.mp4, 0251_S04_T01.mp4, 0251_S04_T02.mp4"
مبكر,3,2,"S03, S07","0171_S03_T01.mp4, 0171_S03_T02.mp4, 0171_S07_T01.mp4"
حضور,3,1,S01,"0062_S01_T01.mp4, 0062_S01_T02.mp4, 0062_S01_T03.mp4"
ابن,3,2,"S01, S07","0090_S01_T01.mp4, 0090_S01_T02.mp4, 0090_S07_T01.mp4"
يصلح,3,2,"S03, S07","0197_S03_T01.mp4, 0197_S03_T02.mp4, 0197_S07_T01.mp4"
جد,3,2,"S01, S07","0094_S01_T01.mp4, 0094_S01_T02.mp4, 0094_S07_T01.mp4"
صحيح,3,2,"S04, S07","0204_S04_T01.mp4, 0204_S04_T02.mp4, 0204_S07_T01.mp4"
خطأ,3,2,"S04, S07","0203_S04_T01.mp4, 0203_S04_T02.mp4, 0203_S07_T01.mp4"
ابنة,3,2,"S01, S07","0091_S01_T01.mp4, 0091_S01_T02.mp4, 0091_S07_T01.mp4"
مترجم,3,2,"S04, S07","0223_S04_T01.mp4, 0223_S04_T02.mp4, 0223_S07_T01.mp4"
رز,3,2,"S01, S06","0106_S01_T01.mp4, 0106_S01_T02.mp4, 0106_S06_T01.mp4"
لحم,3,2,"S01, S06","0107_S01_T01.mp4, 0107_S01_T02.mp4, 0107_S06_T01.mp4"
طعام,3,2,"S01, S06","0101_S01_T01.mp4, 0101_S01_T02.mp4, 0101_S06_T01.mp4"
ماء,3,2,"S01, S06","0082_S01_T01.mp4, 0082_S01_T02.mp4, 0082_S06_T01.mp4"
الآن,3,2,"S03, S07","0159_S03_T01.mp4, 0159_S03_T02.mp4, 0159_S07_T01.mp4"
عملية,3,1,S04,"0252_S04_T01.mp4, 0252_S04_T02.mp4, 0252_S04_T03.mp4"
اليوم,3,2,"S03, S07","0156_S03_T01.mp4, 0156_S03_T02.mp4, 0156_S07_T01.mp4"
مقهى,3,2,"S03, S06","0124_S03_T01.mp4, 0124_S03_T02.mp4, 0124_S06_T01.mp4"
فندق,3,2,"S03, S07","0130_S03_T01.mp4, 0130_S03_T02.mp4, 0130_S07_T01.mp4"
شهر,3,2,"S03, S07","0166_S03_T01.mp4, 0166_S03_T02.mp4, 0166_S07_T01.mp4"
هناك,3,2,"S03, S09","0153_S03_T01.mp4, 0153_S03_T02.mp4, 0153_S09_T01.mp4"
تاريخ,3,3,"S03, S06, S07","0322_S03_T01.mp4, 0322_S06_T01.mp4, 0322_S07_T01.mp4"
منقطع,3,1,S04,"0245_S04_T01.mp4, 0245_S04_T02.mp4, 0245_S04_T03.mp4"
مسجد,3,2,"S03, S07","0131_S03_T01.mp4, 0131_S03_T02.mp4, 0131_S07_T01.mp4"
حليب,3,2,"S01, S06","0112_S01_T01.mp4, 0112_S01_T02.mp4, 0112_S06_T01.mp4"
باب,2,1,S01,"0071_S01_T01.mp4, 0071_S01_T02.mp4"
انتهى,2,1,S03,"0175_S03_T01.mp4, 0175_S03_T02.mp4"
تنظيف,2,1,S01,"0084_S01_T01.mp4, 0084_S01_T02.mp4"
مغلق,2,1,S03,"0192_S03_T01.mp4, 0192_S03_T02.mp4"
أين,2,1,S03,"0151_S03_T01.mp4, 0151_S03_T02.mp4"
شرح,2,1,S01,"0064_S01_T01.mp4, 0064_S01_T02.mp4"
لذيذ,2,1,S01,"0118_S01_T01.mp4, 0118_S01_T02.mp4"
تحميل,2,1,S04,"0237_S04_T01.mp4, 0237_S04_T02.mp4"
لغة,2,1,S04,"0225_S04_T01.mp4, 0225_S04_T02.mp4"
مربع,2,2,"S03, S06","0327_S03_T01.mp4, 0327_S06_T01.mp4"
صالة,2,1,S01,"0070_S01_T01.mp4, 0070_S01_T02.mp4"
حل,2,1,S04,"0202_S04_T01.mp4, 0202_S04_T02.mp4"
غسيل,2,1,S01,"0085_S01_T01.mp4, 0085_S01_T02.mp4"
أُمِّيٌّ,2,2,"S03, S06","0696_S03_T01.mp4, 0696_S06_T01.mp4"
نظام,2,1,S04,"0258_S04_T01.mp4, 0258_S04_T02.mp4"
أي,2,1,S09,"0661_S09_T01.mp4, 0661_S09_T02.mp4"
اختبار,2,1,S01,"0065_S01_T01.mp4, 0065_S01_T02.mp4"
مكتب,2,1,S03,"0128_S03_T01.mp4, 0128_S03_T02.mp4"
كرسي,2,1,S01,"0074_S01_T01.mp4, 0074_S01_T02.mp4"
يعمل,2,1,S03,"0194_S03_T01.mp4, 0194_S03_T02.mp4"
جدول,2,1,S01,"0061_S01_T01.mp4, 0061_S01_T02.mp4"
إرسال,2,1,S04,"0235_S04_T01.mp4, 0235_S04_T02.mp4"
يد,2,1,S01,"0023_S01_T01.mp4, 0023_S01_T02.mp4"
طابور,2,2,"S03, S06","0341_S03_T01.mp4, 0341_S06_T01.mp4"
فم,2,1,S01,"0027_S01_T01.mp4, 0027_S01_T02.mp4"
استقبال,2,1,S04,"0236_S04_T01.mp4, 0236_S04_T02.mp4"
شمس,2,1,S03,"0182_S03_T01.mp4, 0182_S03_T02.mp4"
رياضيات,2,2,"S03, S06","0340_S03_T01.mp4, 0340_S06_T01.mp4"
غاز,2,1,S01,"0083_S01_T01.mp4, 0083_S01_T02.mp4"
عاصفة,2,1,S03,"0190_S03_T01.mp4, 0190_S03_T02.mp4"
يبدأ,2,1,S03,"0176_S03_T01.mp4, 0176_S03_T02.mp4"
أذن,2,1,S01,"0026_S01_T01.mp4, 0026_S01_T02.mp4"
ضعيفة,2,1,S04,"0244_S04_T01.mp4, 0244_S04_T02.mp4"
طاولة,2,1,S01,"0075_S01_T01.mp4, 0075_S01_T02.mp4"
إرشاد,2,1,S04,"0216_S04_T01.mp4, 0216_S04_T02.mp4"
تعليم,2,2,"S03, S06","0324_S03_T01.mp4, 0324_S06_T01.mp4"
إذن,2,1,S04,"0212_S04_T01.mp4, 0212_S04_T02.mp4"
غرفة,2,1,S01,"0067_S01_T01.mp4, 0067_S01_T02.mp4"
سرعة,2,1,S03,"0179_S03_T01.mp4, 0179_S03_T02.mp4"
شهادة,2,2,"S03, S06","0342_S03_T01.mp4, 0342_S06_T01.mp4"
دم,2,1,S04,"0250_S04_T01.mp4, 0250_S04_T02.mp4"
ترجمة,2,1,S04,"0224_S04_T01.mp4, 0224_S04_T02.mp4"
تعليمات,2,1,S04,"0215_S04_T01.mp4, 0215_S04_T02.mp4"
توقف,2,1,S03,"0177_S03_T01.mp4, 0177_S03_T02.mp4"
مستطيل,2,2,"S03, S06","0329_S03_T01.mp4, 0329_S06_T01.mp4"
إشارة,2,1,S04,"0226_S04_T01.mp4, 0226_S04_T02.mp4"
قريب,2,1,S03,"0149_S03_T01.mp4, 0149_S03_T02.mp4"
ضرب,2,2,"S03, S06","0326_S03_T01.mp4, 0326_S06_T01.mp4"
علوم,2,2,"S03, S06","0335_S03_T01.mp4, 0335_S06_T01.mp4"
يعلم,2,1,S05,"0348_S05_T01.mp4, 0348_S05_T02.mp4"
مستقيم,2,1,S03,"0148_S03_T01.mp4, 0148_S03_T02.mp4"
حافلة,2,1,S03,"0137_S03_T01.mp4, 0137_S03_T02.mp4"
قسمة,2,2,"S03, S06","0337_S03_T01.mp4, 0337_S06_T01.mp4"
شرطة,2,1,S03,"0126_S03_T01.mp4, 0126_S03_T02.mp4"
طقس,2,1,S03,"0184_S03_T01.mp4, 0184_S03_T02.mp4"
جائع,2,1,S01,"0119_S01_T01.mp4, 0119_S01_T02.mp4"
بلدية,2,1,S03,"0127_S03_T01.mp4, 0127_S03_T02.mp4"
وضوح,2,1,S04,"0230_S04_T01.mp4, 0230_S04_T02.mp4"
شاحن,2,1,S01,"0077_S01_T01.mp4, 0077_S01_T02.mp4"
مفتوح,2,1,S03,"0191_S03_T01.mp4, 0191_S03_T02.mp4"
عطل,2,1,S03,"0195_S03_T01.mp4, 0195_S03_T02.mp4"
وصفة,2,1,S04,"0254_S04_T01.mp4, 0254_S04_T02.mp4"
بقالة,2,1,S03,"0122_S03_T01.mp4, 0122_S03_T02.mp4"
الحمد لله,2,1,S07,"0421_S07_T01.mp4, 0421_S07_T02.mp4"
دائرة,2,2,"S03, S06","0338_S03_T01.mp4, 0338_S06_T01.mp4"
هاتف,2,1,S01,"0078_S01_T01.mp4, 0078_S01_T02.mp4"
قراءه,2,2,"S03, S06","0339_S03_T01.mp4, 0339_S06_T01.mp4"
حر,2,1,S03,"0185_S03_T01.mp4, 0185_S03_T02.mp4"
ماء للشرب,2,1,S01,"0102_S01_T01.mp4, 0102_S01_T02.mp4"
وزارة,2,1,S07,"0630_S07_T01.mp4, 0630_S07_T02.mp4"
حساب,2,1,S04,"0255_S04_T01.mp4, 0255_S04_T02.mp4"
تاكسي,2,1,S03,"0138_S03_T01.mp4, 0138_S03_T02.mp4"
مطار,2,1,S03,"0140_S03_T01.mp4, 0140_S03_T02.mp4"
تذكرة,2,1,S03,"0143_S03_T01.mp4, 0143_S03_T02.mp4"
تلفزيون,2,1,S01,"0079_S01_T01.mp4, 0079_S01_T02.mp4"
طرح,2,2,"S03, S06","0336_S03_T01.mp4, 0336_S06_T01.mp4"
مكسور,2,1,S03,"0193_S03_T01.mp4, 0193_S03_T02.mp4"
كاميرا,2,1,S04,"0232_S04_T01.mp4, 0232_S04_T02.mp4"
ليل,2,1,S03,"0163_S03_T01.mp4, 0163_S03_T02.mp4"
بعيد,2,1,S03,"0150_S03_T01.mp4, 0150_S03_T02.mp4"
متصل,2,1,S04,"0248_S04_T01.mp4, 0248_S04_T02.mp4"
حذف,2,1,S04,"0265_S04_T01.mp4, 0265_S04_T02.mp4"
إنترنت,2,1,S01,"0080_S01_T01.mp4, 0080_S01_T02.mp4"
أن,2,1,S09,"0656_S09_T01.mp4, 0656_S09_T02.mp4"
زوج,2,1,S01,"0092_S01_T01.mp4, 0092_S01_T02.mp4"
فهم,2,1,S04,"0228_S04_T01.mp4, 0228_S04_T02.mp4"
دعم,2,1,S04,"0218_S04_T01.mp4, 0218_S04_T02.mp4"
ضعيف,2,1,S04,"0222_S04_T01.mp4, 0222_S04_T02.mp4"
رحلة,2,2,"S03, S06","0278_S03_T01.mp4, 0278_S06_T01.mp4"
تنزيل,2,1,S04,"0238_S04_T01.mp4, 0238_S04_T02.mp4"
ممنوع,2,1,S04,"0210_S04_T01.mp4, 0210_S04_T02.mp4"
الحج,2,1,S07,"0466_S07_T01.mp4, 0466_S07_T02.mp4"
عطشان,2,1,S01,"0120_S01_T01.mp4, 0120_S01_T02.mp4"
وجهة,2,1,S03,"0144_S03_T01.mp4, 0144_S03_T02.mp4"
موقع,2,1,S04,"0260_S04_T01.mp4, 0260_S04_T02.mp4"
كهرباء,2,1,S01,"0081_S01_T01.mp4, 0081_S01_T02.mp4"
غيوم,2,1,S03,"0183_S03_T01.mp4, 0183_S03_T02.mp4"
خريطة,2,1,S03,"0145_S03_T01.mp4, 0145_S03_T02.mp4"
ادخل,2,1,S03,"0154_S03_T01.mp4, 0154_S03_T02.mp4"
مفتاح,2,1,S01,"0076_S01_T01.mp4, 0076_S01_T02.mp4"
حار,2,1,S01,"0116_S01_T01.mp4, 0116_S01_T02.mp4"
ملف,2,1,S04,"0233_S04_T01.mp4, 0233_S04_T02.mp4"
قانون,2,2,"S03, S06","0334_S03_T01.mp4, 0334_S06_T01.mp4"
دراجة,2,1,S03,"0139_S03_T01.mp4, 0139_S03_T02.mp4"
استمر,2,1,S03,"0178_S03_T01.mp4, 0178_S03_T02.mp4"
راسب,2,2,"S03, S06","0331_S03_T01.mp4, 0331_S06_T01.mp4"
ظل,2,1,S03,"0188_S03_T01.mp4, 0188_S03_T02.mp4"
فاكهة,2,1,S01,"0111_S01_T01.mp4, 0111_S01_T02.mp4"
زوجة,2,1,S01,"0093_S01_T01.mp4, 0093_S01_T02.mp4"
تعديل,2,1,S04,"0267_S04_T01.mp4, 0267_S04_T02.mp4"
ضروري,2,1,S04,"0206_S04_T01.mp4, 0206_S04_T02.mp4"
غياب,2,1,S01,"0063_S01_T01.mp4, 0063_S01_T02.mp4"
